"","MYD.CHL.A","MYD.CHL.B","MYD.CHL.C","MYD.MOCK.A","MYD.MOCK.B","MYD.MOCK.C","WT.CHL.A","WT.CHL.B","WT.CHL.C","WT.MOCK.A","WT.MOCK.B","WT.MOCK.C"
"Csf3r",8.62270752843245,8.80469967865928,8.73151377261145,8.84859713973287,8.3050288131987,8.8454487425913,10.1189478080596,10.2902310721259,9.98364862648271,8.79864538887529,9.34383532660074,8.48474243214003
"Cyp7b1",7.14718736358313,7.73525684928194,7.31483552143899,6.57073203474067,6.19133333139746,6.58165524793928,8.83439321167033,8.93053506205795,8.22946740248305,6.61723659379439,6.29759688986465,6.51859539548522
"Adgre1",9.03348028642208,8.96996285557191,9.32657716362792,9.14147526195927,8.96702918919753,9.10078479056213,10.961569126351,10.9359875806175,10.859578377754,9.33244021655316,9.47331582607844,8.97529100149123
"F10",7.8479140080379,8.28815615917703,8.05440589568869,7.56379468037257,7.43645686316446,7.48528687745279,9.33853592378874,10.1727987317949,9.5783504499485,7.18113289379058,7.92110474790813,6.85848689630748
"Fcer1g",11.169333522965,11.3873946030996,11.3521170592026,10.7485133558157,10.5736781781302,9.52045063876229,12.5713521152943,12.6231280083546,12.6574303484722,11.1684364867814,11.6715509714806,9.90223281734506
"Fcgr1",8.17404480887063,8.81767307393911,8.471386915402,7.49112786506819,7.05370815135819,7.3126095167569,11.1042629495756,10.7019774335241,9.90722370980437,7.37117317664906,7.64030337220482,6.95690112613347
"Fcgr2b",9.59442728769177,9.75602254371694,8.86632429912377,9.11807629577453,8.73310586986822,8.57371482818954,11.0945113253246,11.2718792913136,10.8485062476077,9.20929196746912,9.38559754654345,8.75739325574439
"Fgl2",8.17015060422977,7.63130948029767,7.89513169944909,8.06140978888612,7.63941090844922,7.40279270551359,9.52735712701328,9.23096240306103,8.59065224375335,8.14423525047839,8.07559355389259,7.84989826230987
"Fpr2",9.61270103612604,8.9701894830829,9.9549478385241,9.37833192200263,8.68102833019653,8.81040170538791,11.7690264001724,12.056697203322,10.9467219158809,9.48712453140218,10.4765687024962,8.78599288306817
"Fpr1",8.6878535130278,8.4856295207097,8.68226438460808,8.79560092545793,8.5291002293298,8.24621022349468,9.67114760472613,10.2858633834255,9.88423681401865,8.34690265327889,8.96071281408721,7.919410402478
"Cfb",9.60387899228761,10.0506877957595,9.64396431940011,8.47482510884096,8.3126788775572,8.0901383068131,11.0810984068392,11.4571542798794,10.7011974828902,8.99416293611302,8.86212830302514,8.26746001109621
"Hcls1",8.71560927013191,8.86386478654776,8.47211983253034,8.41057863464906,8.22528840316579,7.63484870347526,10.1144868009038,10.5171936758853,10.1656383117911,8.61844178029257,9.36683919363114,7.82228418630156
"Cxcl10",9.99434285967149,10.5149483608582,10.2655518775887,7.87325057130827,7.34771391814519,7.55975531552365,12.7554437076543,12.7128024209258,11.6866955609216,7.89230854220512,7.88356309143118,7.12549384830036
"Ifi204",4.78580028221181,4.75162520370633,5.31645417449307,4.5097473075542,4.61520206250473,4.63210571246305,7.21521403073715,6.34427193163246,5.62982686811838,4.62773972898104,4.74071650582804,4.50094731692448
"Ifit2",9.67703356964758,9.8639507929259,10.2744894694646,8.00400291159826,8.08784457652176,8.07632657113158,11.3827330105161,11.3862636496758,10.570209192442,8.08438970806922,8.40195277186019,8.01043805120634
"Ighm",10.5402008513723,9.90484995389174,10.7558786982383,9.62942648260431,9.53290433907337,8.67681602947821,10.5061095106491,11.5848195454714,10.8555088475349,13.4597769880078,12.2104515392967,11.2284957816674
"Il1b",8.81004683600183,9.15031621255606,8.91399485763657,8.878348570672,8.33488856952737,8.67417309123686,11.326394853901,12.0239408638125,11.0588012771066,9.07653843997426,9.38033772501982,8.57871149550542
"Il1r2",7.61314875462319,7.96393532260934,8.04075098203024,7.6133680713783,7.53807416104283,7.89682370336556,9.09958199650272,9.35218283645013,8.62971759613578,7.51701897920818,7.69174654552687,7.76530668279611
"Il1rn",8.59422953304583,8.66007323903874,8.10855928163903,8.11806893913557,7.66577654165361,7.3168125420942,11.7236453116615,11.9378516240359,10.6174644227486,7.57282991831537,8.00991629754223,7.24629944526543
"Il6",5.6632751918656,5.43674194604576,6.18698084850462,5.25945423992609,4.85258605676325,5.11558138564679,7.74872987776656,7.62347461448643,6.02709469183792,4.95635374233362,4.79853693838802,5.0946652860117
"Acod1",7.88970970202279,8.21815958028233,8.45229624318893,8.28527953759531,7.63773726855951,8.07071968039953,12.3738886571266,12.5677216469403,11.3351606437297,7.73660522984309,7.86384383809707,7.95945957891689
"Itgam",6.87563178500701,6.71655562981653,6.50669852990735,6.45497678019942,6.15288276176022,6.66191886853357,8.90140578764251,9.24024469561804,8.75587620056434,6.95605409639485,7.7338844345304,6.47408358589447
"Lcp2",8.36446673673497,8.41435002465552,7.92003532448147,8.06726735431005,7.99445413377761,6.80458439815244,9.632080490168,10.4522759516524,9.47591923380613,8.05831946296425,8.92226161970757,7.1548571689806
"Lst1",9.72065644959565,9.75927266680551,9.75861812851576,9.46520249545649,9.12418294417374,8.67571094819276,11.1837263295441,11.1773402115881,11.42508705844,9.76581825641945,10.6743457342258,8.83799175999157
"Marco",8.70749577597639,9.19368301787217,9.09046326962656,7.78007488910395,7.87747514426446,7.28365592372605,9.68520872991733,11.2014651273816,10.7656239159599,8.12602157127474,8.8449682520468,8.76578378377546
"Mela",9.57122155254684,10.6377936263694,9.43446982415327,10.5604235938642,9.72395386771381,8.19297621964046,5.37318641926413,5.94236397434474,5.46891455825028,4.98098968606537,4.7508655406565,4.98589338758569
"Cxcl9",8.90021796844319,9.10032991539322,9.77001138660322,8.70991928089917,7.66075615431154,8.43971568005175,11.1791459121857,11.4522184383204,10.8344772759354,7.90809650403573,8.13838875633099,7.76604220745202
"Marcksl1",8.54498382388942,8.41885763679874,9.07526860657084,8.42310194619622,8.18843728988666,7.97573934162075,10.6779912260107,11.0252293652307,9.77306440525713,8.6941035436989,8.78895575857593,8.21029735268962
"Mmp9",7.35934398674528,7.23045961528577,6.90247506536207,7.12294313240791,7.17821305207985,6.99105731728556,8.23838260354031,8.68183534181112,7.72822823611756,7.28849508438312,7.49263543847468,6.73370542806352
"Mx1",8.08275507485016,8.24785410338878,8.3821264993914,6.56783373060808,6.56522805583833,6.52690480051261,10.1800643538381,10.3682625299222,8.50464033341274,6.21788796601091,6.57780915841638,6.12477978138253
"Gadd45b",10.4615911192784,10.393662194988,10.1347454132084,10.5012314695094,10.3272965599726,10.6961055206509,11.2552601167331,11.5457591956877,11.3339827168257,10.3537249138656,10.6350313115152,10.9359626658371
"Ncf1",8.51358293844378,8.79835065169009,7.62213424696206,8.40791683369453,8.0377543148301,7.4934257169129,9.98507874367003,10.5500825923587,9.68482393487515,8.65365947150013,8.86021366504907,7.69558674364994
"Pirb",8.02691985878128,8.06130220326808,7.47723823525022,7.53765811623594,7.36741982155354,7.05929235572766,9.39862718012257,9.39522750849533,8.92775612661955,7.64692734163065,8.16548663562441,6.76432951439168
"Lgmn",11.2442859906479,10.9552059444346,10.1015061617608,10.5136430085837,9.951774054834,10.2941241705414,11.836413381656,11.9244624431644,11.8182311377238,10.502566399313,10.5446733112848,10.4668005957523
"Rab20",6.35087784775391,6.34961301822779,5.88949178325267,5.83925725133611,6.05640327930953,6.09118405607243,7.67961038952588,8.35953189844777,7.54126552263341,5.86513679021393,6.30293652023134,6.5235469131467
"Bex1",7.63515032446882,7.01929602718234,7.96071829705787,7.32058948374905,7.13413138650493,7.57898733600228,6.66360125217123,6.56986211814176,6.19624695623402,7.33719558354169,7.18263166155214,7.73087564171429
"Saa1",5.45936237943947,5.5453434633745,6.33894890654071,5.39553159699059,5.0346913347591,5.50218545588656,8.03202600044127,6.67911680226723,6.7710138209213,5.30293960511769,5.0552910660629,5.32732964918568
"Saa3",9.89217093165145,10.8453245306488,11.0932151406892,9.87050133854927,8.56837567581358,9.19555997049132,13.6179550594941,13.4006910990633,12.9983945714648,8.95491679293401,9.24329224049261,9.61642737820269
"Ccl12",7.39782852312464,7.91831283428415,7.83406473681687,7.04638625202759,6.45044313252639,6.85612954488961,10.2251348789145,10.1324954714181,9.1614175046433,6.69489267200224,6.82595261947274,6.54955064741989
"Ccl2",8.07597900666351,8.445973164003,7.88473030481669,7.70011507133171,7.78562676569983,7.75048863219731,11.3120140670181,11.4944743505197,9.91783657528304,7.78489840972402,7.55965977125516,7.77447319018595
"Ccl3",7.49522347019305,7.50721409394605,7.62796449728617,7.32171490821975,7.17330743421579,7.53667279374923,11.6589470596529,11.8441469086305,11.2355760055578,7.24875258090981,7.81715085950531,7.34686917709707
"Ccl7",7.57646087051775,8.0881427000699,7.94443449654364,7.51811318125874,7.27828801864311,7.51514868808603,10.0213182086886,9.98318358236573,9.03963162169807,7.19605997169451,7.15675869731798,7.52614301986508
"Ccl9",10.0433065110378,10.0013365748337,10.1024536350811,9.21368252495454,8.66060936302306,8.63695014522156,10.9989142643601,11.5516896058411,11.1161837046518,9.46230271626031,9.78990483314466,8.89050080587948
"Cxcl2",6.03087124604407,6.1604780564334,6.52028012902576,6.66858972369172,6.08141268636761,6.32989347783453,9.97530154822643,10.6174325362278,9.31606090000536,6.29596132620947,6.07124229492822,6.23991731443299
"Cxcl5",5.72013583789443,5.72775110222224,5.70406714714671,6.25059552410963,5.59078671482763,5.76200441023717,7.04053476042799,7.9000771595886,6.52963292125938,5.83154772053641,5.77343730960528,5.60746814105002
"Sema4d",10.1577618155832,10.2145225249333,9.55570661544434,9.96531090097096,9.86749243048194,9.47323878686446,11.3948747387444,11.4496865364973,11.0787106245868,10.2237772106509,10.8971945796156,9.5182847769661
"Spi1",8.8778910248673,9.03262202683806,8.37838553217052,8.18587885926826,8.31453046814518,7.85103402527454,10.1153951828651,10.2341833378097,9.88160932995906,8.66509533709028,9.26027281610877,7.70439990170774
"Sla",8.47310035410707,8.62317319847059,7.80979628934153,8.38347810253624,8.07997625904399,8.25194739309397,9.39442998985489,9.69254279713209,9.64201878923021,8.46623673289078,9.1853313725793,8.45202348284843
"Slfn1",8.24954685214463,8.61585831176789,8.50514310110488,7.65916200187187,7.42665161184696,6.91609257399451,10.4964049382114,10.6760422930568,9.44063125562229,7.53064192576269,8.07537803389041,6.8058167637178
"Slfn2",9.62474371685764,10.3314824428224,9.55464758443944,9.37713102493654,9.34356022755498,9.13234862676891,10.8651979865133,10.9773961780127,10.6776920758759,9.50517732730565,9.66736442666625,8.96881534940507
"Slfn4",8.84419309264019,9.55015365815557,9.42732053032524,8.48509578695405,6.99800262494776,7.66803942455363,12.61656910873,12.4347323624356,11.2199254641454,8.26153456247778,8.87400621858106,7.47942544168329
"Snca",8.74056974312953,8.61848790100688,7.82864443885515,8.74703109623555,7.66090446496098,7.42483689093249,7.06162558221375,6.9736079298354,7.26479915657161,7.00281098142302,6.76300688162892,7.10631782903307
"Sod2",10.4939980733818,10.2784280903957,10.8668122313873,10.1635370645936,9.94626788836731,10.1101791112022,11.5688937325881,12.0295233891332,11.4945125090967,10.2523643765828,10.2915682655956,10.3235396085823
"Serpina3g",9.04182756185099,8.98411159674897,9.32280720915447,8.98680818540409,7.78194589513959,7.82164748132362,11.0868890956616,11.2889141428042,10.5437377933028,9.15389441306422,9.19291654724901,7.77552702446149
"Serpina3m",8.58697813748813,8.19116421954814,8.43337478763907,8.03006718730158,7.42036664393818,8.12151377337899,10.2301093092757,10.002201088793,8.86922966741304,7.82162741847589,7.37162555422516,8.17019437142364
