"","MYD.CHL.A","MYD.CHL.B","MYD.CHL.C","MYD.MOCK.A","MYD.MOCK.B","MYD.MOCK.C","WT.CHL.A","WT.CHL.B","WT.CHL.C","WT.MOCK.A","WT.MOCK.B","WT.MOCK.C"
"1455540_at",7.37026791881038,7.42974540076306,8.06299418681212,7.90821055768219,7.61275877964133,8.03163141358424,7.52805573643052,7.42576689108201,7.84318648996438,7.70055752822059,7.53050824941644,7.83632714167451
"1451856_at",9.07972483497365,9.02899574173962,9.5113043582375,9.51196838829364,9.41703533795669,9.73863224870416,9.32874325312617,8.73971371562856,9.29158568801781,9.03295161865858,8.72782411358684,9.4910833143648
"1425175_at",7.42918343630177,7.48227034388733,8.17620091282006,8.00825590878812,7.74175394352789,8.28891595182598,7.95293068389948,7.54324690765151,7.87881226559184,7.75950897264435,7.38902219772064,8.08081158191458
"1451498_at",8.87571020348734,8.64951591612383,9.00727577545233,9.04326899264965,8.91007969291121,9.31918236932484,8.46306378878408,8.39466503841193,8.19142736016837,9.29199525054153,9.24020872610083,9.44674353627561
"1449552_at",9.81179586171881,10.1569388897658,8.62765923160879,9.71137006471965,10.0922360827997,10.1322763792555,10.0613500047567,9.98168691186144,9.63487749043229,10.1719866739233,10.2685326640438,10.2528013381509
"1435530_at",7.98953965669804,7.58208956566494,8.36125455413635,7.84775613671564,7.678253947165,8.46994186845065,8.01366389455027,8.26356664679596,8.29776365976053,7.99358013566378,8.13118987159181,8.59013471255648
"1434113_a_at",7.31556097385232,6.78491626229979,7.59392767289247,6.95765160650126,6.72461094746353,6.61407591931437,7.13833917874136,7.19262374021741,7.13997361764113,7.04087999558603,7.43549675372401,6.96771097327619
"1426499_at",9.6136025356629,9.73825833929763,8.9668122990931,9.51889994333497,9.39485760793863,9.01380296694639,9.2815453368655,9.43075723493579,9.46291844231286,9.70290364490889,9.69796940137511,8.96557911011686
"1427212_at",9.70121485383512,9.62492928313993,8.65568368843005,9.44820022036132,9.40500241735497,8.98532421077106,9.37780751546828,9.62813639380726,9.65300584626485,9.54588868247668,9.762042952142,9.10617644547671
"1456312_x_at",12.4784381164907,12.0498636745362,12.5917864020952,12.713505675728,12.8242149109586,12.4611332051805,12.3856839064317,11.9858847381118,11.8936091207913,12.7859932721912,12.5903559081854,12.5007232147769
"1419007_at",6.91503407097032,6.99672337205737,7.73206405359638,7.45243651696532,7.34008057749269,7.4958469651535,7.20873213923467,6.91022935447671,7.21543052665098,7.23143142201549,7.0829270842943,7.46590741829804
"1448794_s_at",7.3887484563602,8.14871423842845,6.0334204911287,7.56803217218984,7.80172273737483,7.19175002322726,7.49941929715554,7.79185687602752,7.48907830625619,7.67478853124849,7.59983000136701,7.18028996345792
"1435697_a_at",10.8893079283284,10.6003739718214,11.1850561658472,10.9778027695105,10.9006561617271,10.2767748019983,10.8092760525538,10.7733747597392,10.4655056743643,11.0843136020634,11.3693903616084,10.3563191499667
"1438677_at",8.89591458553188,9.5092261286893,8.48610085129293,9.22408321080149,9.55535126203106,9.22594847609768,9.14290525387004,8.75818094968461,8.77364309260846,9.06336794636218,8.91822566007039,9.13381620894842
"1423747_a_at",7.20339869547422,6.33001827649645,7.51056203135715,7.358215777604,6.62966036315898,7.10410074556031,7.13944708529091,6.843362854648,6.57368272712018,7.64760978215619,7.47744239247004,7.91726462646205
"1426310_at",8.94711901741758,9.23971095053217,7.96822945381651,8.60919512142586,8.62778468519299,8.63312387187526,9.07118172158108,9.15329148165196,9.13130674177218,8.77929109880965,8.83475762977148,8.696787568704
"1426288_at",8.92404810826844,8.58392801210248,9.26073674895032,8.81742893186548,8.91134679871835,9.10701729193333,8.39814437021589,8.73331875661582,8.41885763679874,8.906442656771,9.02095286052773,8.98888332449289
"1452139_at",7.89670338476243,8.14566455091513,7.97130946060754,7.54043634590044,7.64495566983697,7.52732365367914,7.99125330149024,8.41944108196361,8.06178807571051,7.76306883197145,8.11279164035211,7.72050755696535
"1425660_at",8.6829128631362,9.19438431983732,8.01130192487123,8.90943641909743,9.24073497040264,9.08812617365159,8.74813608814207,8.96597117133079,8.56098707228749,9.10594063896691,9.34799228108141,9.11683866940231
"1434561_at",9.61530862239326,9.26127573522779,10.0886126745696,9.60517628242398,9.50869035424444,9.80972413361646,9.30044502365661,9.27008933374773,9.50807930015293,9.63160985267492,9.89600236125474,9.92625662921691
"1439423_x_at",10.768986577456,11.0219689864192,10.888270095652,10.1876814428031,10.5919614997462,10.0908950286528,10.2900022534001,10.821194270307,10.6080961159179,10.2726001998296,10.8464112611321,9.97865556964196
"1424161_at",7.33475103308833,7.45240288577323,6.9280739272168,7.01680148619743,7.51781771525157,7.45607865203043,7.03036479512412,7.6777606794087,7.30716265002142,7.02524060246621,7.5276974746685,7.42512594638769
"1452438_s_at",6.95938197758458,6.60704987881001,6.72662307069912,7.09315574402017,6.70362224260322,7.26310047043707,6.93970961220648,6.64710910272631,6.40497875962393,7.18055198676715,7.53955968419334,7.27604509213475
"1451974_at",10.3724397906805,10.3159609652042,10.7864120023737,10.4333663237289,10.5108805722936,11.2478948090557,10.1792067476903,10.1530451141834,10.5213174976047,10.7530296231162,10.8488787183075,11.1988451985667
"1435454_a_at",9.62723902937691,9.34940149115105,10.1351984553614,9.14911532601881,8.76049429893103,9.26796883232677,10.2718814650834,10.1947205633933,9.8070043791328,9.21519503836019,9.47611713340533,9.58144996970415
"1426840_at",8.62287877014803,7.73784461163498,8.77143360751871,8.79294661179442,8.10128475797529,8.42124442691347,8.51232549841491,8.37914737384671,7.99595734811922,8.74471552500329,8.97777099242224,8.5990866492424
"1427016_at",8.17029797196714,7.16165870042209,7.9314083916541,7.98215980517821,7.26578978584775,7.87531945733595,8.02065085320207,7.65174642852128,7.5034438342386,8.0267168287025,8.0402592289445,8.02590232917163
"1451520_at",9.56580568425621,9.17161556184393,9.58593229204323,9.79863859673669,9.56951707984482,9.88354768650002,9.42025850639273,9.31571791886584,9.09714092175643,9.7794229030554,9.67430165724575,10.0524877694121
"1451932_a_at",9.38772612758836,9.2181311575579,9.23151141746211,9.57967802468037,9.88426415948443,9.85527862605354,9.80733418289674,9.88268408686713,9.64390727762258,9.75213084840985,9.93930991933281,9.8754488833767
"1429139_at",9.37788289683588,9.13853033063356,9.97454319875914,9.71512410644582,9.81677618496697,10.1628398425225,9.44712263146422,9.71030470139996,9.34893540100653,9.95019007404494,10.0130318059525,10.2684831805056
"1423997_at",11.6444659067972,10.8328597845049,10.4675235169299,11.3586989490862,11.3545092898958,11.3636305966531,11.3849464182023,11.3685355809967,10.9662562008327,11.4157802213581,11.3430939972265,11.5135915670484
"1456064_at",7.45112676190029,8.20812861398739,7.71890355244714,7.69920513542936,8.59761373523149,6.89501744954327,7.74409324655954,7.24373989174979,7.39770373719038,7.86398457728836,7.61527995249371,6.70496476301399
"1427063_at",10.1151156972613,9.85973306223684,9.99818354550959,10.4085726322624,10.3476228423231,10.1953963393302,9.69972228037982,9.62226877161332,9.59494497548895,10.3752066209587,10.3798999971247,10.1660247793302
"1436730_at",6.71012698587743,6.40748666204611,7.32332565650944,7.17050274904537,6.73921985333459,7.33013833903,7.0228224624281,7.16877657133551,7.23442116309619,7.38489690660628,7.12262253642238,7.5534514175879
"1434380_at",10.3840786177332,10.0544980780714,10.8501632356791,10.0073858454813,9.54178375527209,9.01158081843088,11.1371224328059,11.2507745590795,10.6584106248941,9.83972076727999,10.0441440366613,8.86985562879899
"1434056_a_at",9.56751037151242,9.02149813134078,9.23154943935674,9.14751923538951,8.94305701056435,7.91716670423474,9.38583397754672,9.00826024986302,8.46336071689655,9.24168456252261,9.23243262696711,8.72396149751438
"1427191_at",10.0155136177982,9.81082286931942,9.98274920790929,10.3466456790675,10.5539023482535,10.5636774877576,9.5915644983168,9.69574107298119,9.60840785701058,10.3776386416294,10.3269285588815,10.6400691750036
"1424084_at",5.87058199252418,5.77337105084058,5.02024769078294,5.51503539243851,6.27213514759731,5.45313736871603,6.22483934617956,6.35251528312076,5.30551024857458,5.64557863324082,5.93719985817492,5.62823165986715
"1423675_at",8.57926838626852,8.66879689692625,6.78694130442691,7.82984024365532,7.99484543713599,7.91775011089141,8.38449965847653,8.52127374836862,8.16911704668895,8.0408472068644,8.35434064209236,8.19929758046305
"1451349_at",6.86347056126523,6.42588902654393,6.74689080111631,7.19815841770032,6.39820568129926,6.6828717947742,6.76277488557173,6.9584780303922,6.91122422905276,7.36669948747949,7.09634374521616,7.27443073001597
"1427348_at",6.53536609464019,6.80774551743459,6.5966978062489,6.57948063252696,6.56431575816975,6.67915112579226,7.70918053102021,8.39715602685415,7.79111936787487,6.66303248869294,7.00984413602663,6.61926998437678
"1435087_at",9.80735556465574,9.75045440392399,9.96945694051824,10.0251478494725,9.94764788039641,10.2671046560276,9.50710778965089,9.41973061330207,9.59054029118898,10.0556711372163,10.2912589953764,10.2461485757125
"1427041_at",8.88173689313663,9.12692711560149,8.88088824993441,8.73147358370309,8.4891457378322,8.20744986209901,10.4679558496111,10.5148679770373,9.70264116809103,8.99331631726938,9.42789810070704,8.2827000556338
"1425327_at",9.70450927165404,10.0517684952605,9.36582650197919,9.68145222911881,10.4283830895161,10.0578143972956,9.68793845547131,9.23755050037783,9.55211249976884,9.79865808652069,9.48165447165335,10.0401004484472
"1427339_at",6.92447851319877,6.90386328263341,7.31690738889386,7.28571047956491,6.89532187958448,7.27897800052875,6.91849641500555,6.63331895196632,6.97444853418576,6.8137231579081,6.53264669605555,7.36144780890286
